"quarter3","total_wage","ID"
"212057","6303413273","2096607"
"168269","3019516020","2096608"
"107","1565369","2096609"
"245351","3604782095","2096610"
"63203","900522893","2096611"
"18832","231218819","2096612"
"1511","47976770","2096613"
"291","4800140","2096614"
"26750","386622555","2096615"
"3204","37968428","2096616"
"2425","64904540","2096617"
"687","22334874","2096618"
"2623","32081406","2096619"
"3155","37434182","2096620"
"13525","239846336","2096621"
"45971","765915983","2096622"
"9403","117846517","2096623"
"165","3518065","2096624"
"12445","158217156","2096625"
"17050","228965334","2096626"
"2654","34384740","2096627"
"149","4243417","2096628"
"11109","130705852","2096629"
"1191","35164358","2096630"
"7755","174427849","2096631"
"2204","28725709","2096632"
"13862","162296865","2096633"
"178","2562208","2096634"
"16399","209623617","2096635"
"327766","5414018346","2096636"
"15803","206066055","2096637"
"5345","125544553","2096638"
"2195497","117013743580","2096639"
"944","18883386","2096640"
"76247","1041067618","2096641"
"239464","4060745492","2096642"
"567","19155571","2096643"
"4330","83011311","2096644"
"71","1068988","2096645"
"31645","496016431","2096646"
"16465","246341541","2096647"
"4798","170832560","2096648"
"263","9695428","2096649"
"5374","189668127","2096650"
"43698","830510980","2096651"
"19017","425782836","2096652"
"115336","1789012559","2096653"
"373","7958211","2096654"
"56643","985869644","2096655"
"7821","101166108","2096656"
"4600","60003293","2096657"
"10014","158300488","2096658"
"3468","88957101","2096659"
"6002","74057482","2096660"
"10534","251088544","2096661"
"178","3192828","2096662"
"2313","28898439","2096663"
"5065","72640851","2096664"
"56924","828704159","2096665"
"100629","3274124796","2096666"
"29780","423358304","2096667"
"111","1878195","2096668"
"6175","79913671","2096669"
"51522","1242331704","2096670"
"8119","105255497","2096671"
"62","1921200","2096672"
"49625","1429124592","2096673"
"5120","113455836","2096674"
"12399","349928113","2096675"
"10726","224535800","2096676"
"147580","2987077547","2096677"
"29167","380150152","2096678"
"32898","1237683525","2096679"
"12149","315064116","2096680"
"2283","44644108","2096681"
"10329","228331526","2096682"
"43756","1260914031","2096683"
"11028","139948325","2096684"
"628","12089721","2096685"
"41743","605189446","2096686"
"45130","577034219","2096687"
"1212","24266303","2096688"
"328","5668152","2096689"
"7302","185022188","2096690"
"26344","328234577","2096691"
"1232","28919097","2096692"
"383396","6035640634","2096693"
"1294","34923641","2096694"
"12687","162683077","2096695"
"22547","299140796","2096696"
"1379","41084827","2096697"
"39865","588278612","2096698"
"45985","1143795982","2096699"
"944","18883386","2096700"
"23563","377884319","2096701"
"2193","70021828","2096702"
"150568","2289248619","2096703"
"31645","496016431","2096704"
"3355","97431494","2096705"
"137027","2245084074","2096706"
"6181","79268698","2096707"
"10534","251088544","2096708"
"29216","414889051","2096709"
"489","16708439","2096710"
"3801","104821736","2096711"
"145","1025665","2096712"
"6674","147107773","2096713"
"628","12089721","2096714"
"9699","217568190","2096715"
"205","3981737","2096716"
"49287","717493955","2096717"
"5065","72640851","2096718"
"43851","562296219","2096719"
"45985","1143795982","2096720"
"699055","15006606873","2096721"
"59612","845622382","2096722"
"291815","4829969837","2096723"
"115581","1664762304","2096724"
"1191","35164358","2096725"
"111647","1803578643","2096726"
"15879","376633097","2096727"
"25299","288754269","2096728"
"233","2929996","2096729"
"136","1437991","2096730"
"34","272608","2096731"
"155","1441872","2096732"
"284","2905615","2096733"
"302","3805742","2096734"
"927","11499049","2096735"
"603","6142862","2096736"
"31","164589","2096737"
"205","2145059","2096738"
"607","7474149","2096739"
"823","9547327","2096740"
"256","2640782","2096741"
"142","1072083","2096742"
"687","6629279","2096743"
"797","7836323","2096744"
"115","945109","2096745"
"329","4391936","2096746"
"43","646211","2096747"
"802","11255699","2096748"
"88","740830","2096749"
"10","148386","2096750"
"131","1301830","2096751"
"544","6436854","2096752"
"352","9471096","2096753"
"289","3281067","2096754"
"683","8734039","2096755"
"392","5556655","2096756"
"357","3797629","2096757"
"243","2383174","2096758"
"121","1128762","2096759"
"138","6314516","2096760"
"537","5434150","2096761"
"327","2883702","2096762"
"831","9618040","2096763"
"545","6014019","2096764"
"1123","11361761","2096765"
"731","7574621","2096766"
"232","2166152","2096767"
"94","714004","2096768"
"84","1166546","2096769"
"67","347967","2096770"
"375","4129142","2096771"
"3","42948","2096772"
"41","327046","2096773"
"458","4916465","2096774"
"17","79514","2096775"
"143","911783","2096776"
"197","2106673","2096777"
"109","1073318","2096778"
"614","7124512","2096779"
"435","4191805","2096780"
"2232","23308399","2096781"
"467","4980257","2096782"
"100","828172","2096783"
"516","6798155","2096784"
"717","8178238","2096785"
"150","2780524","2096786"
"167","2315935","2096787"
"379","3578253","2096788"
"1605","16301126","2096789"
"289","4023900","2096790"
"999","11454314","2096791"
"153","1240842","2096792"
"2540","28237462","2096793"
"2638","31480678","2096794"
"5984","67445607","2096795"
"3408","36667027","2096796"
"2353","24437161","2096797"
"981","8840704","2096798"
"594","16449135","2096799"
"2508","29802013","2096800"
"1781","18748408","2096801"
"2357","23756941","2096802"
"625","7138652","2096803"
"420","4343606","2096804"
"255","2270044","2096805"
"1183","14139831","2096806"
"603","6142862","2096807"
"663","6463067","2096808"
"441","3931146","2096809"
"1061","12959580","2096810"
"911","10288157","2096811"
"687","6629279","2096812"
"797","7836323","2096813"
"429","3941168","2096814"
"3215","39018673","2096815"
"850","9742187","2096816"
"833","9717921","2096817"
"357","3797629","2096818"
"594","16449135","2096819"
"537","5434150","2096820"
"831","9618040","2096821"
"2412","24629305","2096822"
"1123","11361761","2096823"
"232","2166152","2096824"
"41","327046","2096825"
"1004","10810653","2096826"
"614","7124512","2096827"
"2232","23308399","2096828"
"467","4980257","2096829"
"516","6798155","2096830"
"717","8178238","2096831"
"1226","12966900","2096832"
"255","2270044","2096833"
"1334","13270473","2096834"
"31","164589","2096835"
"546","5894188","2096836"
"516","6798155","2096837"
"717","8178238","2096838"
"594","16449135","2096839"
"1453","15712707","2096840"
"4074","43662276","2096841"
"1455","17340847","2096842"
"458","4185532","2096843"
"544","6436854","2096844"
"771","7795825","2096845"
"2353","24437161","2096846"
"10206","107226095","2096847"
"94","496294","2096848"
"21","154505","2096849"
"43","249361","2096850"
"21","245673","2096851"
"171","1895710","2096852"
"333","3453992","2096853"
"72","843936","2096854"
"158","1605686","2096855"
"328","3143138","2096856"
"40","156688","2096857"
"332","2979384","2096858"
"362","3006289","2096859"
"68","563271","2096860"
"207","3509335","2096861"
"34","184172","2096862"
"70","629241","2096863"
"320","8950308","2096864"
"126","2015074","2096865"
"125","2464991","2096866"
"256","3043188","2096867"
"39","246815","2096868"
"13","75242","2096869"
"39","754806","2096870"
"244","1889805","2096871"
"74","486154","2096872"
"330","4305990","2096873"
"863","8974880","2096874"
"417","4157360","2096875"
"131","920311","2096876"
"19","129402","2096877"
"46","866236","2096878"
"7","77021","2096879"
"75","512492","2096880"
"24","161254","2096881"
"69","538059","2096882"
"69","306686","2096883"
"47","316445","2096884"
"40","394489","2096885"
"13","72510","2096886"
"117","971901","2096887"
"1977","20116135","2096888"
"27","151005","2096889"
"72","626686","2096890"
"473","4307470","2096891"
"15","281189","2096892"
"105","1346398","2096893"
"83","498135","2096894"
"967","8182813","2096895"
"96","883788","2096896"
"194","2412913","2096897"
"111","881558","2096898"
"791","6721295","2096899"
"764","9623077","2096900"
"2463","25622395","2096901"
"1861","18324017","2096902"
"1990","20191377","2096903"
"214","1220379","2096904"
"378","9895006","2096905"
"346","3314415","2096906"
"398","3174072","2096907"
"981","8750264","2096908"
"172","1011393","2096909"
"42","400178","2096910"
"47","255450","2096911"
"178","1931785","2096912"
"333","3453992","2096913"
"167","1291312","2096914"
"131","1130026","2096915"
"250","2542998","2096916"
"362","3327310","2096917"
"332","2979384","2096918"
"362","3006289","2096919"
"110","560997","2096920"
"944","12094682","2096921"
"210","2994971","2096922"
"83","698907","2096923"
"256","3043188","2096924"
"378","9895006","2096925"
"244","1889805","2096926"
"330","4305990","2096927"
"1263","10484525","2096928"
"863","8974880","2096929"
"131","920311","2096930"
"24","161254","2096931"
"257","2382592","2096932"
"13","72510","2096933"
"1977","20116135","2096934"
"27","151005","2096935"
"72","626686","2096936"
