"Shawshank Redemption, The (1994)",102929
"Forrest Gump (1994)",100296
"Pulp Fiction (1994)",98409
"Matrix, The (1999)",93808
"Silence of the Lambs, The (1991)",90330
"Star Wars: Episode IV - A New Hope (1977)",85010
"Fight Club (1999)",77332
"Jurassic Park (1993)",75233
"Schindler's List (1993)",73849
"Lord of the Rings: The Fellowship of the Ring, The (2001)",73122
"Star Wars: Episode V - The Empire Strikes Back (1980)",72151
"Braveheart (1995)",69482
"Toy Story (1995)",68997
"Terminator 2: Judgment Day (1991)",68383
"Usual Suspects, The (1995)",67750
"Star Wars: Episode VI - Return of the Jedi (1983)",67496
"Lord of the Rings: The Two Towers, The (2002)",67463
"Lord of the Rings: The Return of the King, The (2003)",67449
"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)",67408
"Godfather, The (1972)",66440
"American Beauty (1999)",65158
"Seven (a.k.a. Se7en) (1995)",63298
"Back to the Future (1985)",61879
"Dark Knight, The (2008)",59334
"Saving Private Ryan (1998)",58368
"Fargo (1996)",58031
"Inception (2010)",57931
"Gladiator (2000)",57449
"Independence Day (a.k.a. ID4) (1996)",57224
"Fugitive, The (1993)",57073
"Sixth Sense, The (1999)",57010
"Apollo 13 (1995)",55940
"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",55275
"Shrek (2001)",54844
"Memento (2000)",53658
"Lion King, The (1994)",51518
"Good Will Hunting (1997)",50824
"Aladdin (1992)",50458
"Batman (1989)",49789
"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",48722
"Men in Black (a.k.a. MIB) (1997)",48434
"Speed (1994)",47210
"True Lies (1994)",47148
"Terminator, The (1984)",47131
"Princess Bride, The (1987)",46957
"Dances with Wolves (1990)",46771
"Groundhog Day (1993)",46512
"Monty Python and the Holy Grail (1975)",46508
"Indiana Jones and the Last Crusade (1989)",46401
"Blade Runner (1982)",46289
"Finding Nemo (2003)",46128
"Monsters, Inc. (2001)",46036
"Titanic (1997)",45767
"Die Hard (1988)",45553
"Alien (1979)",45211
"Kill Bill: Vol. 1 (2003)",45135
"One Flew Over the Cuckoo's Nest (1975)",44592
"Eternal Sunshine of the Spotless Mind (2004)",44430
"Truman Show, The (1998)",44140
"Reservoir Dogs (1992)",43730
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",43459
"Godfather: Part II, The (1974)",43111
"Mission: Impossible (1996)",42879
"Ace Ventura: Pet Detective (1994)",42728
"Goodfellas (1990)",42003
"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",41846
"Batman Begins (2005)",41686
"Incredibles, The (2004)",41463
"Beauty and the Beast (1991)",41342
"Ocean's Eleven (2001)",41217
"Beautiful Mind, A (2001)",41139
"E.T. the Extra-Terrestrial (1982)",40585
"Fifth Element, The (1997)",40550
"X-Men (2000)",40334
"Mask, The (1994)",40007
"WALL·E (2008)",39993
"Mrs. Doubtfire (1993)",39296
"Pretty Woman (1990)",39189
"American History X (1998)",38967
"Green Mile, The (1999)",38965
"Aliens (1986)",38846
"Catch Me If You Can (2002)",38652
"Shining, The (1980)",38640
"Spider-Man (2002)",38627
"Die Hard: With a Vengeance (1995)",38488
"Minority Report (2002)",38446
"Ghostbusters (a.k.a. Ghost Busters) (1984)",38267
"Star Wars: Episode I - The Phantom Menace (1999)",37973
"Bourne Identity, The (2002)",37489
"Kill Bill: Vol. 2 (2004)",37301
"Interstellar (2014)",37157
"Rock, The (1996)",37001
"Clockwork Orange, A (1971)",36818
"Dumb & Dumber (Dumb and Dumber) (1994)",36802
"Taxi Driver (1976)",36647
"Iron Man (2008)",36468
"Up (2009)",36382
"Big Lebowski, The (1998)",36349
"Being John Malkovich (1999)",36151
"Babe (1995)",35969
"2001: A Space Odyssey (1968)",35934
"Donnie Darko (2001)",35452
"Twister (1996)",35315
"Trainspotting (1996)",35303
"Batman Forever (1995)",35288
"Departed, The (2006)",35236
"Stargate (1994)",35215
"V for Vendetta (2006)",35173
"Avatar (2009)",35043
"Inglourious Basterds (2009)",34888
"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)",34825
"Home Alone (1990)",34648
"Ferris Bueller's Day Off (1986)",33683
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",33343
"Spirited Away (Sen to Chihiro no kamikakushi) (2001)",33333
"Rain Man (1988)",33284
"Prestige, The (2006)",32965
"L.A. Confidential (1997)",32831
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)",32830
"Toy Story 2 (1999)",32683
"Willy Wonka & the Chocolate Factory (1971)",32575
"Apocalypse Now (1979)",32518
"Snatch (2000)",32509
"Full Metal Jacket (1987)",32501
"GoldenEye (1995)",32474
"Ghost (1990)",32382
"Cast Away (2000)",32200
"Casablanca (1942)",32190
"Sleepless in Seattle (1993)",32129
"Django Unchained (2012)",32043
"Interview with the Vampire: The Vampire Chronicles (1994)",31756
"Harry Potter and the Prisoner of Azkaban (2004)",31427
"Waterworld (1995)",31329
"Clear and Present Danger (1994)",31300
"Dead Poets Society (1989)",31035
"Clueless (1995)",30616
"Dark Knight Rises, The (2012)",30369
"Four Weddings and a Funeral (1994)",30312
"Harry Potter and the Chamber of Secrets (2002)",29900
"Matrix Reloaded, The (2003)",29835
"Life Is Beautiful (La Vita è bella) (1997)",29819
"Breakfast Club, The (1985)",29669
"O Brother, Where Art Thou? (2000)",29593
"American Pie (1999)",29519
"Heat (1995)",29490
